iteracion,tiempo_segundos
1,0.000124884
2,0.000122269
3,8.9237e-05
4,0.000127037
5,0.000100287
6,7.9278e-05
7,7.9298e-05
8,7.9259e-05
9,7.9228e-05
10,7.9249e-05
11,7.9318e-05
12,7.9468e-05
13,7.9368e-05
14,7.9158e-05
15,7.9368e-05
16,8.2645e-05
17,7.9249e-05
18,7.9309e-05
19,7.9228e-05
20,7.9209e-05
21,7.9228e-05
22,7.9219e-05
23,7.9248e-05
24,7.9239e-05
25,7.9218e-05
26,7.9168e-05
27,7.9198e-05
28,7.9188e-05
29,8.2074e-05
30,7.9459e-05
31,7.9229e-05
32,7.9308e-05

Promedio:,8.46913e-05
Desviacion:, 1.34991e-05
